movieId,title,genres,year,clean_title
1,Toy Story (1995),adventure|animation|children|comedy|fantasy,1995,Toy Story
2,Jumanji (1995),adventure|children|fantasy,1995,Jumanji
3,Grumpier Old Men (1995),comedy|romance,1995,Grumpier Old Men
4,Waiting to Exhale (1995),comedy|drama|romance,1995,Waiting to Exhale
5,Father of the Bride Part II (1995),comedy,1995,Father of the Bride Part II
6,Heat (1995),action|crime|thriller,1995,Heat
7,Sabrina (1995),comedy|romance,1995,Sabrina
8,Tom and Huck (1995),adventure|children,1995,Tom and Huck
9,Sudden Death (1995),action,1995,Sudden Death
10,GoldenEye (1995),action|adventure|thriller,1995,GoldenEye
11,"American President, The (1995)",comedy|drama|romance,1995,"American President, The"
12,Dracula: Dead and Loving It (1995),comedy|horror,1995,Dracula: Dead and Loving It
13,Balto (1995),adventure|animation|children,1995,Balto
14,Nixon (1995),drama,1995,Nixon
15,Cutthroat Island (1995),action|adventure|romance,1995,Cutthroat Island
16,Casino (1995),crime|drama,1995,Casino
17,Sense and Sensibility (1995),drama|romance,1995,Sense and Sensibility
18,Four Rooms (1995),comedy,1995,Four Rooms
19,Ace Ventura: When Nature Calls (1995),comedy,1995,Ace Ventura: When Nature Calls
20,Money Train (1995),action|comedy|crime|drama|thriller,1995,Money Train
21,Get Shorty (1995),comedy|crime|thriller,1995,Get Shorty
22,Copycat (1995),crime|drama|horror|mystery|thriller,1995,Copycat
23,Assassins (1995),action|crime|thriller,1995,Assassins
24,Powder (1995),drama|sci-fi,1995,Powder
25,Leaving Las Vegas (1995),drama|romance,1995,Leaving Las Vegas
26,Othello (1995),drama,1995,Othello
27,Now and Then (1995),children|drama,1995,Now and Then
28,Persuasion (1995),drama|romance,1995,Persuasion
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",adventure|drama|fantasy|mystery|sci-fi,1995,"City of Lost Children, The (Cité des enfants perdus, La)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),crime|drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),drama,1995,Dangerous Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),mystery|sci-fi|thriller,1995,Twelve Monkeys (a.k.a. 12 Monkeys)
34,Babe (1995),children|drama,1995,Babe
36,Dead Man Walking (1995),crime|drama,1995,Dead Man Walking
38,It Takes Two (1995),children|comedy,1995,It Takes Two
39,Clueless (1995),comedy|romance,1995,Clueless
40,"Cry, the Beloved Country (1995)",drama,1995,"Cry, the Beloved Country"
41,Richard III (1995),drama|war,1995,Richard III
